ticker,name,sector,exchange,yfinance_symbol,universe_rank
SMRA,PT Summarecon Agung Tbk,UNKNOWN,IDX,SMRA.JK,222
SMDR,PT Samudera Indonesia Tbk,UNKNOWN,IDX,SMDR.JK,223
NATO,PT Surya Permata Andalan Tbk,UNKNOWN,IDX,NATO.JK,224
TGKA,PT Tigaraksa Satria Tbk,UNKNOWN,IDX,TGKA.JK,225
MASB,PT Bank Multiarta Sentosa Tbk,UNKNOWN,IDX,MASB.JK,226
SGER,PT Sumber Global Energy Tbk,UNKNOWN,IDX,SGER.JK,227
DRMA,PT Dharma Polimetal Tbk,UNKNOWN,IDX,DRMA.JK,228
CTBN,PT Citra Tubindo Tbk,UNKNOWN,IDX,CTBN.JK,229
BPII,PT Batavia Prosperindo Internasional Tbk,UNKNOWN,IDX,BPII.JK,230
MDIA,PT Intermedia Capital Tbk,UNKNOWN,IDX,MDIA.JK,231
KRAS,PT Krakatau Steel (Persero) Tbk,UNKNOWN,IDX,KRAS.JK,232
SINI,PT Singaraja Putra Tbk,UNKNOWN,IDX,SINI.JK,233
MPMX,PT Mitra Pinasthika Mustika Tbk,UNKNOWN,IDX,MPMX.JK,234
BANK,PT Bank Aladin Syariah Tbk,UNKNOWN,IDX,BANK.JK,235
MSTI,PT Mastersystem Infotama Tbk,UNKNOWN,IDX,MSTI.JK,236
TUGU,PT Asuransi Tugu Pratama Indonesia Tbk,UNKNOWN,IDX,TUGU.JK,237
RDTX,PT Roda Vivatex Tbk,UNKNOWN,IDX,RDTX.JK,238
JTPE,PT Jasuindo Tiga Perkasa Tbk,UNKNOWN,IDX,JTPE.JK,239
GJTL,PT. Gajah Tunggal Tbk,UNKNOWN,IDX,GJTL.JK,240
DKFT,PT Central Omega Resources Tbk,UNKNOWN,IDX,DKFT.JK,241
GGRP,PT Gunung Raja Paksi Tbk,UNKNOWN,IDX,GGRP.JK,242
AGRO,PT Bank Raya Indonesia Tbk,UNKNOWN,IDX,AGRO.JK,243
MTLA,PT Metropolitan Land Tbk,UNKNOWN,IDX,MTLA.JK,244
BIRD,PT Blue Bird Tbk,UNKNOWN,IDX,BIRD.JK,245
TBLA,PT Tunas Baru Lampung Tbk,UNKNOWN,IDX,TBLA.JK,246
SURE,PT Super Energy Tbk,UNKNOWN,IDX,SURE.JK,247
WIIM,PT Wismilak Inti Makmur Tbk,UNKNOWN,IDX,WIIM.JK,248
CASS,PT Cahaya Aero Services Tbk,UNKNOWN,IDX,CASS.JK,249
PSGO,PT Palma Serasih Tbk,UNKNOWN,IDX,PSGO.JK,250
TOBA,PT TBS Energi Utama Tbk,UNKNOWN,IDX,TOBA.JK,251
VICI,PT Victoria Care Indonesia Tbk,UNKNOWN,IDX,VICI.JK,252
BESS,PT Batulicin Nusantara Maritim Tbk,UNKNOWN,IDX,BESS.JK,253
HEXA,PT Hexindo Adiperkasa Tbk,UNKNOWN,IDX,HEXA.JK,254
MAPB,PT Map Boga Adiperkasa Tbk,UNKNOWN,IDX,MAPB.JK,255
IMAS,PT Indomobil Sukses Internasional Tbk,UNKNOWN,IDX,IMAS.JK,256
TOTL,PT Total Bangun Persada Tbk,UNKNOWN,IDX,TOTL.JK,257
PBID,PT Panca Budi Idaman Tbk,UNKNOWN,IDX,PBID.JK,258
LPPF,PT MDS Retailing Tbk,UNKNOWN,IDX,LPPF.JK,259
APLN,PT Agung Podomoro Land Tbk,UNKNOWN,IDX,APLN.JK,260
MKAP,PT Multikarya Asia Pasifik Raya Tbk,UNKNOWN,IDX,MKAP.JK,261
AMAR,PT Bank Amar Indonesia Tbk,UNKNOWN,IDX,AMAR.JK,262
NOBU,PT Bank Nationalnobu Tbk,UNKNOWN,IDX,NOBU.JK,263
TRIM,PT Trimegah Sekuritas Indonesia Tbk,UNKNOWN,IDX,TRIM.JK,264
MBSS,PT Mitrabahtera Segara Sejati Tbk,UNKNOWN,IDX,MBSS.JK,265
BBYB,PT Bank Neo Commerce Tbk,UNKNOWN,IDX,BBYB.JK,266
LINK,PT Link Net Tbk,UNKNOWN,IDX,LINK.JK,267
DAAZ,PT Daaz Bara Lestari Tbk,UNKNOWN,IDX,DAAZ.JK,268
SDRA,PT Bank Woori Saudara Indonesia 1906 Tbk,UNKNOWN,IDX,SDRA.JK,269
GOLF,PT Intra Golflink Resorts Tbk,UNKNOWN,IDX,GOLF.JK,270
NIRO,PT City Retail Developments Tbk,UNKNOWN,IDX,NIRO.JK,271
FISH,PT FKS Multi Agro Tbk,UNKNOWN,IDX,FISH.JK,272
IFSH,PT Ifishdeco Tbk,UNKNOWN,IDX,IFSH.JK,273
KEEN,PT Kencana Energi Lestari Tbk,UNKNOWN,IDX,KEEN.JK,274
ARNA,PT Arwana Citramulia Tbk,UNKNOWN,IDX,ARNA.JK,275
CBRE,PT Cakra Buana Resources Energi Tbk,UNKNOWN,IDX,CBRE.JK,276
PNIN,PT Paninvest Tbk,UNKNOWN,IDX,PNIN.JK,277
KEJU,PT Mulia Boga Raya Tbk,UNKNOWN,IDX,KEJU.JK,278
SKRN,PT Superkrane Mitra Utama Tbk,UNKNOWN,IDX,SKRN.JK,279
CPRO,PT Central Proteina Prima Tbk,UNKNOWN,IDX,CPRO.JK,280
MARK,PT Mark Dynamics Indonesia Tbk,UNKNOWN,IDX,MARK.JK,281
PKPK,PT Paragon Karya Perkasa Tbk,UNKNOWN,IDX,PKPK.JK,282
AGRS,PT Bank IBK Indonesia Tbk,UNKNOWN,IDX,AGRS.JK,283
SAMF,"PT Saraswanti Anugerah Makmur, Tbk",UNKNOWN,IDX,SAMF.JK,284
TFCO,PT Tifico Fiber Indonesia Tbk,UNKNOWN,IDX,TFCO.JK,285
MDLA,PT Medela Potentia Tbk,UNKNOWN,IDX,MDLA.JK,286
ROTI,PT Nippon Indosari Corpindo Tbk,UNKNOWN,IDX,ROTI.JK,287
JSPT,PT Jakarta Setiabudi Internasional Tbk,UNKNOWN,IDX,JSPT.JK,288
BGTG,PT Bank Ganesha Tbk,UNKNOWN,IDX,BGTG.JK,289
ISSP,PT Steel Pipe Industry of Indonesia Tbk,UNKNOWN,IDX,ISSP.JK,290
KAEF,PT Kimia Farma Tbk,UNKNOWN,IDX,KAEF.JK,291
SOCI,PT Soechi Lines Tbk,UNKNOWN,IDX,SOCI.JK,292
ROCK,PT Rockfields Properti Indonesia Tbk.,UNKNOWN,IDX,ROCK.JK,293
NETV,PT MDTV Media Technologies Tbk,UNKNOWN,IDX,NETV.JK,294
MNCN,PT. Media Nusantara Citra Tbk,UNKNOWN,IDX,MNCN.JK,295
ARGO,PT Argo Pantes Tbk,UNKNOWN,IDX,ARGO.JK,296
HUMI,PT Humpuss Maritim Internasional Tbk,UNKNOWN,IDX,HUMI.JK,297
GTSI,PT GTS Internasional Tbk,UNKNOWN,IDX,GTSI.JK,298
LPCK,PT Lippo Cikarang Tbk,UNKNOWN,IDX,LPCK.JK,299
PNGO,PT PINAGO UTAMA Tbk,UNKNOWN,IDX,PNGO.JK,300
SFAN,PT Surya Fajar Capital Tbk,UNKNOWN,IDX,SFAN.JK,301
MINA,PT Sanurhasta Mitra Tbk,UNKNOWN,IDX,MINA.JK,302
PYFA,PT Pyridam Farma Tbk,UNKNOWN,IDX,PYFA.JK,303
BWPT,PT Eagle High Plantations Tbk,UNKNOWN,IDX,BWPT.JK,304
DAYA,PT Duta Intidaya Tbk,UNKNOWN,IDX,DAYA.JK,305
MYOH,PT Samindo Resources Tbk,UNKNOWN,IDX,MYOH.JK,306
PORT,PT Nusantara Pelabuhan Handal Tbk,UNKNOWN,IDX,PORT.JK,307
MCOR,PT Bank China Construction Bank Indonesia Tbk,UNKNOWN,IDX,MCOR.JK,308
INPC,PT Bank Artha Graha Internasional Tbk,UNKNOWN,IDX,INPC.JK,309
UANG,PT Pakuan Tbk,UNKNOWN,IDX,UANG.JK,310
